"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",3.05078877239198e-216,31.3648637542573,0.147238288707672,"TPM4",7.55558347370598e-212
"OK",3.52544568648005e-213,31.1394340276113,0.146169313357753,"WDR1",4.36555939356825e-209
"OK",4.67107267312956e-199,30.0782048371357,0.141155657408756,"RASA3",3.85612619409089e-195
"OK",5.88966424462223e-198,29.9939196410163,0.140788514194622,"ADGRE5",3.64658561705785e-194
"OK",7.14210347331175e-173,28.0045937519521,0.131433627310566,"LINC00565",3.53762669240077e-169
"OK",1.41726408140155e-167,27.5661438603422,0.129374810969064,"SNX32",5.84999370666514e-164
"OK",3.91833642630776e-148,25.8937251643128,0.121499653627069,"MIR3138",1.38630742762769e-144
"OK",2.58772455495465e-147,25.8208293973161,0.12115904343213,"CFL1",8.01094829100085e-144
"OK",3.55659319882956e-136,24.809312516198,0.116405180542142,"PRKX",9.78695412913476e-133
"OK",5.83430583298802e-125,23.7474714990489,0.111408659375355,"ACTR3",1.44492418259781e-121
"OK",2.77261366575278e-122,23.4869496868661,0.110166893143183,"MYH9",6.24241364054849e-119
"OK",1.18825289633874e-120,23.3266954670832,0.109430535225686,"PRKX-AS1",2.45235593589376e-117
"OK",7.82114119503312e-112,22.4410736172887,0.105249144209509,"TSPOAP1",1.48998756027839e-108
"OK",1.31654536557269e-109,22.2119417736038,0.104192512730658,"ITGA1",2.32896875169809e-106
"OK",7.88014800385139e-106,21.8176957261642,0.102339606429669,"PEX11G",1.30106496975589e-102
"OK",1.39001497480625e-101,21.3658077656951,0.10019132573964,"MIR6819",2.15156942912823e-98
"OK",4.12220158979919e-93,20.4345530829593,0.0958297121421099,"GNG2",6.00532026899804e-90
"OK",1.34852121873362e-90,20.1498915318328,0.0944890964987697,"ABCA7",1.85541536128648e-87
"OK",3.77871598583896e-90,20.0988165965791,0.0942571818651626,"MUS81",4.92545684764672e-87
"OK",8.38254593469186e-89,19.9443995314257,0.0935285430756769,"C17orf99",1.03801066309289e-85
"OK",2.26211522117869e-88,19.8946870218804,0.0932975544730251,"RAB8A",2.66778788417674e-85
"OK",8.12546448598111e-88,19.8304715060619,0.0929256435504828,"SEMA5A",9.14705697544582e-85
"OK",2.77516351524499e-87,19.7685921481101,0.0927050979602527,"CNN2",2.9882478095025e-84
"OK",1.17195161682464e-82,19.2237112072039,0.090138609912652,"IMMP2L",1.20935640592829e-79
"OK",1.11943711951245e-80,18.9857104703522,0.0890156204441007,"ARID5B",1.10895918807381e-77
"OK",7.46221544074983e-80,18.8858053395767,0.0885508188614593,"CD68",7.1080472156004e-77
"OK",4.89771655628394e-79,18.7861959261314,0.0880818501650141,"MX1",4.49247586047882e-76
"OK",1.73364281832842e-77,18.5959175908005,0.0871870029306842,"SNX9",1.53340707281149e-74
"OK",3.95930296114044e-77,18.551582452162,0.0869722068541728,"ERN1",3.38124472881394e-74
"OK",1.58694654969662e-75,18.3521354804995,0.0860279507254712,"MIR3680-1",1.31007727499288e-72
"OK",3.83036274321196e-75,18.304201189351,0.085816277375909,"MIR589",3.06008915156088e-72
"OK",3.95468366486644e-75,18.3024612545583,0.0858089223404676,"GRK1",3.06067798887757e-72
"OK",3.1785245256354e-73,18.0619217167478,0.0846732617734988,"FAM72D",2.38543449702686e-70
"OK",1.19196728246904e-71,17.8607548313802,0.0837314950786552,"EIF4A1",8.68242991694948e-69
"OK",4.13133766979633e-70,17.6617572490741,0.0827905065041555,"LOC102723604",2.92333453514788e-67
"OK",6.24224478442981e-70,17.6384471132604,0.0826787662500737,"EPSTI1",4.29431762031079e-67
"OK",1.77543535940759e-69,17.5792750935975,0.0824081380121861,"POLR2E",1.18839005705644e-66
"OK",3.89783886803381e-69,17.5346289670297,0.0821792008076404,"CBS",2.54036519488751e-66
"OK",5.4705713740497e-68,17.3838225101738,0.0814861602147206,"TRPM2",3.47395309358243e-65
"OK",1.8941704789565e-67,17.3124663642597,0.0811347209660615,"U2AF1",1.14417218059306e-64
"OK",1.89417182444946e-67,17.3124663233651,0.0811347207795165,"U2AF1L5",1.14417218059306e-64
"OK",4.68669193174768e-67,17.2602318436218,0.0808762848951408,"ADTRP",2.76358600908721e-64
"OK",5.53531531379033e-67,17.250619322007,0.0808440446178368,"CRYAA",3.11572060995813e-64
"OK",5.53548036978751e-67,17.2506175992244,0.0808440365173045,"CRYAA2",3.11572060995813e-64
"OK",7.15407368390081e-67,17.2357915003031,0.0807944167872396,"DDX39A",3.93728419678861e-64
"OK",3.76058891899093e-66,17.1395645762772,0.0803336030993337,"GIMAP5",2.02466837321151e-63
"OK",4.49483548292793e-66,17.1291905723088,0.0802930461022142,"SNORD10",2.36849139511049e-63
"OK",9.93882229558369e-66,17.0829593352322,0.0800706723816288,"H3F3B",5.12801818692554e-63
"OK",1.85133932427806e-65,17.0466312440382,0.0798924674285771,"BCL2",9.35719789899396e-63
"OK",2.48091505819535e-65,17.0295095850225,0.0798008211652042,"TSPOAP1-AS1",1.22884684662532e-62
"OK",4.69537060303861e-65,16.9921352946264,0.0796377788054499,"PRR7-AS1",2.28010879127165e-62
"OK",5.05231611719161e-65,16.9878375574705,0.0796261646497781,"LINC01191",2.40626271073784e-62
"OK",1.45775337422865e-62,16.6522264302321,0.0780393277709929,"LCP1",6.81183397474468e-60
"OK",7.90076160633807e-62,16.5507900945942,0.0775643939128364,"ETS1",3.62352336930683e-59
"OK",2.00364597822282e-61,16.494672104133,0.0773048530568301,"PRR7",9.02223569030297e-59
"OK",1.29374285731404e-60,16.381622336825,0.0767703885178817,"GAB2",5.72157778647134e-58
"OK",3.32048782606366e-60,16.3241960809522,0.0765036902591567,"SENP3-EIF4A1",1.44272283333847e-57
"OK",6.41460381612078e-60,16.2839597737288,0.0763181175251729,"SNORA48",2.73903582948357e-57
"OK",1.68415069870721e-59,16.2247968537432,0.0760365943753473,"IL7R",7.06943664477673e-57
"OK",4.59346943031602e-59,16.1630705889421,0.0757460976833605,"IL4R",1.89603106518678e-56
"OK",7.55447351618728e-59,16.132377851455,0.075603626443396,"SH3GL1",3.06711624757203e-56
"OK",1.2160176707408e-58,16.1029557990133,0.0754606089020781,"PPP4C",4.85740219896236e-56
"OK",2.69795370988175e-56,15.7652492029651,0.073878450699929,"PTBP1",1.06059558061796e-53
"OK",2.89847213947906e-56,15.7607192840668,0.0738386367281433,"LOC388242",1.12161814072404e-53
"OK",1.27965558697304e-55,15.6665941631561,0.0734148867635582,"MIR3064",4.87568465645758e-53
"OK",1.55112974614535e-55,15.6543584243867,0.0733565183099839,"SNORA67",5.82049686258116e-53
"OK",4.18370238772039e-54,15.4433243311547,0.0723470867116203,"SLX1A-SULT1A3",1.52445790547526e-51
"OK",4.18570368942574e-54,15.4432934917986,0.0723469415075714,"SULT1A4",1.52445790547526e-51
"OK",1.71170981767864e-53,15.3522063991564,0.0719192745016877,"MIR6511B1",6.14379787603322e-51
"OK",4.35398769837091e-53,15.291530227867,0.0716407097472725,"CASC15",1.54044084768363e-50
"OK",1.31257706170133e-52,15.2195035794661,0.0713118760673749,"CCND2",4.57849063522468e-50
"OK",2.12924712950855e-52,15.1878197829129,0.0711650659319748,"CIRBP-AS1",7.32401866797342e-50
"OK",4.2233217961813e-52,15.1428544949463,0.0709349479223223,"BOLA2",1.43280530964693e-49
"OK",5.5883357732512e-52,15.1244284995018,0.0708607719897324,"MIR8069-1",1.8702800508154e-49
"OK",1.48123295731924e-51,15.0601204981255,0.0705643095765102,"SNORA38",4.89122872279578e-49
"OK",3.58931316923561e-51,15.0014929504378,0.070283265544987,"RBM38",1.16964381512223e-48
"OK",4.37301949955958e-51,14.9883801245273,0.0702088361552846,"SLX1A",1.40652208994925e-48
"OK",1.34311379864807e-50,14.9136582639999,0.0698599200993547,"ADAM19",4.26455850478437e-48
"OK",5.12288869611451e-50,14.824024322806,0.0694425241215905,"FLNA",1.60599318288572e-47
"OK",1.39797972015182e-49,14.7564549592567,0.0691332699494438,"DDX5",4.32779571865999e-47
"OK",1.51909684526772e-49,14.7508488035526,0.0691083187357796,"MIR4539",4.64468549011115e-47
"OK",1.99435402338683e-49,14.7324676585296,0.0690171754302174,"IL21R-AS1",6.02343557843882e-47
"OK",2.28025486527672e-49,14.7234129123323,0.0689770675452586,"FOSL2",6.80395084258352e-47
"OK",3.4099343834515e-49,14.6961813129887,0.0688474638729789,"NELL2",1.00536232072095e-46
"OK",8.13043700902535e-49,14.6372084290857,0.0685718631525684,"CIRBP",2.36892238782967e-46
"OK",8.53337580163522e-49,14.6339186591439,0.0685516291759212,"LRRC32",2.45741378027091e-46
"OK",8.99728063526391e-49,14.6303174395502,0.0685343037149491,"FAM72C",2.56122588750513e-46
"OK",9.20016260252805e-49,14.6288002360962,0.068534383559543,"MIDN",2.58921848879784e-46
"OK",3.30871669540281e-48,14.5414516265052,0.0681095781058929,"INPP4B",9.20715479531977e-46
"OK",3.54912492698938e-48,14.5366498377878,0.0680976640422625,"AKT3",9.76640310464655e-46
"OK",1.72779611996989e-47,14.4278761044318,0.0675746602829545,"LINC-PINT",4.70226359419496e-45
