"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,57.2254756839783,0.268842181843677,"PTPRQ",0
"OK",0,51.9771121219662,0.244167450983116,"LINC02112",0
"OK",0,46.4897827917777,0.218340371965955,"DGKB",0
"OK",0,46.040273111595,0.216239390211057,"SCML4",0
"OK",0,45.4476310279434,0.213377037941375,"DMD",0
"OK",0,44.7536441334633,0.210198097887939,"FAM71C",0
"OK",0,44.6592665754543,0.20967630275621,"NKAIN2",0
"OK",0,44.5858237391443,0.209267167875841,"NTM",0
"OK",0,44.0177103803635,0.206561527354007,"LSAMP",0
"OK",0,43.3538707247191,0.203314054224528,"DLG2",0
"OK",0,43.2142974584184,0.202953527969556,"TNFSF4",0
"OK",0,43.1554363423008,0.20265114877392,"ADAM12",0
"OK",0,42.7956217549611,0.20098640519834,"EPAS1",0
"OK",0,42.664573323137,0.199942104909706,"ANKS1B",0
"OK",0,41.6267459088722,0.195495954171513,"C10orf90",0
"OK",0,41.4857039128583,0.194513429572566,"FGF14",0
"OK",0,41.4423426501637,0.194461906125619,"PRKCE",0
"OK",0,41.3936480450931,0.194395500201337,"RASGRF2",0
"OK",0,41.2755526788172,0.19370297850028,"EPHA6",0
"OK",0,40.7549770782632,0.191044700476344,"TBC1D3H",0
"OK",0,40.545567516808,0.189746582427308,"MIR6511B1",0
"OK",0,40.2137355270582,0.188782602171706,"ADGRB3",0
"OK",0,39.6540591534719,0.18607185907166,"GRIA1",0
"OK",0,39.5490692791998,0.185667620971631,"PTCHD1-AS",0
"OK",0,39.3697775577301,0.184686935609755,"ZBTB20",0
"OK",0,39.3621370395754,0.184658496123184,"RARB",0
"OK",0,39.2975811002645,0.184520946864242,"IPCEF1",0
"OK",0,39.2150125803784,0.184090174378599,"KCND2",0
"OK",0,39.057913820085,0.183315417716857,"PDE1C",0
"OK",0,38.9812522437262,0.18301540255518,"LOC101929294",0
"OK",0,38.9579600611726,0.182837868662261,"CTNND2",0
"OK",0,38.7120493752836,0.181648443535128,"ERBB4",0
"OK",0,38.6299597695867,0.181351963032026,"NCKAP5",0
"OK",0,38.5806891445389,0.18116107504969,"EYA1",0
"OK",0,38.5608348778111,0.181070374658726,"IL1RAPL1",0
"OK",0,38.4845510105703,0.180560203830558,"TENM2",0
"OK",0,38.4843120991129,0.180545450991177,"ASTN2",0
"OK",0,38.4277540092373,0.180408602693262,"ZBTB16",0
"OK",0,38.3241129952031,0.179826732728114,"FRMPD4",0
"OK",0,38.0491040194174,0.178619560145959,"THSD7A",0
"OK",0,37.7966425820773,0.177400594708241,"TBC1D3C",0
"OK",0,37.7446259121446,0.177224383426369,"ADGRL2",0
"OK",0,37.6371644841211,0.176678435760709,"ASTN1",0
"OK",0,37.6322191869939,0.17664994493071,"SYNPR",0
"OK",4.31769018862868e-305,37.3171977284817,0.175228503051339,"MIR4699",2.37655262849208e-302
"OK",3.99985524876292e-302,37.1338188009562,0.174359785980671,"MUC19",2.15374814470889e-299
"OK",2.65671920664279e-301,37.0828316742332,0.174098892794422,"CNTN1",1.40009102190075e-298
"OK",9.90669651345688e-301,37.0473491478396,0.173951131093926,"ADAMTS9-AS2",5.11206179045445e-298
"OK",1.45582437604078e-300,37.0369645869514,0.173903967464671,"LINC01206",7.35904366737837e-298
"OK",4.16364154630731e-296,36.7590733055021,0.172388358574519,"CTNNA3",2.06258474920971e-293
"OK",9.75963418624323e-292,36.4845176989626,0.171111072403662,"LOC101928978",4.7399290031188e-289
"OK",8.13000445916743e-291,36.4264111801207,0.170961661380052,"LOC101928516",3.87254000863689e-288
"OK",1.24279084621295e-290,36.4147676580129,0.170973111048014,"ACSS3",5.8080540509148e-288
"OK",3.78557067137588e-285,36.0666183970198,0.169311353342594,"PTPRZ1",1.73638518443165e-282
"OK",1.5795382243531e-284,36.0270192265524,0.169148789181494,"LOC285626",7.11337859618216e-282
"OK",3.75556098521902e-284,36.0029892714856,0.169045066043116,"LY75",1.66109803648018e-281
"OK",1.18912174693845e-282,35.906966934907,0.168545147235873,"KCNQ5",5.16725553507342e-280
"OK",1.24948893072739e-281,35.8414524241395,0.168169468823998,"NBPF1",5.3359640215839e-279
"OK",1.87658561989532e-278,35.6369497706036,0.166029913522711,"MIR3680-1",7.87816088460801e-276
"OK",2.6817288971487e-277,35.5623001302928,0.166908259872323,"LOC101928304",1.1070623842246e-274
"OK",1.69284063457346e-272,35.2503764356538,0.165506666284095,"FAT1",6.87376552094262e-270
"OK",7.24707108170535e-272,35.2091323050057,0.165268195453865,"TAS2R1",2.89520489714129e-269
"OK",1.58966361789054e-271,35.1868333675732,0.165167559084327,"HS6ST3",6.24990129389377e-269
"OK",5.02245009720396e-271,35.1541506379799,0.165018626700365,"PTGER3",1.9437666634007e-268
"OK",7.2414677355327e-271,35.1437488883939,0.164874168543235,"GALNTL6",2.75944483602168e-268
"OK",5.74947741381706e-270,35.0847929758427,0.164620338073952,"SPAG16",2.15770918277022e-267
"OK",2.19998253618734e-269,35.0465551011198,0.164484184999151,"KCNH7",8.13303991624244e-267
"OK",8.92324997534506e-267,34.8749202896589,0.163736530285436,"ITPRID1",3.25029380351944e-264
"OK",6.2862149974152e-265,34.7528032095028,0.162991290128985,"RIMS2",2.2565689749417e-262
"OK",1.8221906752841e-264,34.7221911706655,0.162980848481986,"ARHGAP24",6.44769154801597e-262
"OK",2.2504395587723e-264,34.7161163846051,0.162994684773597,"SEMA5A",7.85086442693397e-262
"OK",5.6920976302179e-264,34.6893984892427,0.162830833918309,"TOX",1.95816064170649e-261
